Gender,Starting_Weight_KG,End_Weight_KG,Duration_in_weeks,Training_hours_per_week,Intensity
Male,92.01614732633949,89.90538412114466,14,3,High
Female,92.9700343677163,91.1514466407842,6,8,Medium
Female,115.8491230378784,110.9452115340268,14,5,High
Male,100.83045748967442,92.69968844837993,15,12,Medium
Female,76.03242191173912,74.46876008238644,10,8,Low
Female,112.64392735044717,101.9006526479046,19,9,High
Female,82.31512491074767,76.39090899943113,12,11,High
Female,60.08300099993995,57.610189177297066,17,6,Medium
Female,74.86110134953896,74.26148257098917,15,2,Low
Female,79.09401055062375,76.50489392744197,6,10,High
Female,111.52664809391413,109.5841153140603,17,4,Low
Male,98.3401266826578,93.7148120703568,7,12,High
Male,97.78349151245203,94.99898051176257,13,5,Medium
Female,80.16613598399324,79.11163034928926,8,4,Medium
Male,115.22712492188319,111.73150982064517,12,10,Low
Male,117.80107107761566,116.91632960748716,9,2,Medium
Male,119.67561316618517,114.6622662721519,20,8,Low
Male,95.06965067843947,88.96629907294563,19,8,Medium
Male,118.64589782508685,114.99450506612624,10,11,Low
Female,107.51277417785408,104.14901235870538,10,7,Medium
Male,107.02756590577067,101.48480013722029,17,11,Low
Female,74.69336876520596,69.54467375559885,17,9,Medium
Female,72.9874356566526,71.91273025579711,11,5,Low
Male,86.64191298084982,84.08610076571848,6,8,High
Male,116.91026440901462,114.98321054879145,6,10,Low
Female,77.64459974298997,73.37631118602903,19,7,Medium
Female,87.18565472693271,84.34549101686166,20,4,Medium
Female,89.6374700392334,82.7082291748191,14,10,High
Female,106.69029572701524,97.89151649342811,17,11,Medium
Male,113.76939846212096,111.4069463896248,12,3,High
Female,68.34436206891677,64.6191957455964,18,12,Low
Male,97.07617440844295,94.09533365767284,12,6,Medium
Female,110.57129327012743,108.45326844571692,16,2,High
Male,112.72133223023354,105.71376181999776,10,11,High
Female,66.14482550714499,63.795865155242495,14,6,Medium
Female,69.38300093207778,63.63865223929022,15,9,High
Male,92.16794766397632,90.31338283360532,18,2,High
Female,64.52154414500042,63.31912714787219,6,11,Low
Female,85.47978017043557,84.60489785660614,13,3,Low
Male,84.30470820598327,82.85625362790316,11,6,Low
Male,102.7287037467938,101.31854585293377,12,2,High
Female,74.79341638866937,74.20420057957237,9,2,Medium
Male,103.8573226139849,98.14377906833836,19,11,Low
Female,67.05153857421826,66.13476576763185,16,2,Medium
Female,118.55303210511201,116.20935019566159,15,5,Low
Female,115.95367223144044,104.34694796393455,18,10,High
Female,83.50781631387994,82.48241421540229,6,8,Low
Female,74.53071564756513,72.05018418078959,20,4,Medium
Male,90.01592851414291,88.97095743095997,10,2,High
Female,89.00361211214351,85.56723216182478,8,11,Medium
Male,81.59971207602868,79.08067269561627,7,8,High
Female,98.38230636450763,93.30376765031657,18,7,Medium
Female,84.49817450038469,81.72697447687813,16,8,Low
Female,82.64439435533325,76.13451413275453,13,11,High
Female,108.5618982893519,107.56708343942454,7,3,Medium
Male,108.3614184073316,101.61557143141349,18,6,High
Female,117.26002892356152,115.46048749398669,6,6,Medium
Male,94.07744961982763,92.81871583955534,8,4,Medium
Male,115.90171058597622,106.6522621079659,13,11,High
Female,106.19803117500533,101.47476825439489,14,12,Low
Female,81.44547909568278,78.58090811056488,16,4,High
Male,104.8666174581303,102.42563841346274,14,6,Low
Female,77.31419745910173,70.27596235740783,19,11,Medium
Male,114.9759966829937,109.88161576679359,6,12,High
Female,66.74563903273868,63.11397255964805,20,5,High
Male,88.49737445176164,87.1347463486301,12,5,Low
Male,87.32133168319685,83.39479947737435,20,8,Low
Male,96.12104009617155,88.60749255880604,11,12,High
Male,109.80931840128517,108.5433725015916,10,2,High
Male,101.07629796208721,95.26502295064196,13,10,Medium
Female,89.26057941229246,83.26970562707893,10,11,High
Female,60.03275789381974,58.59168166684391,6,7,High
Male,97.01606901420219,88.6168259915924,12,12,High
Male,82.54215099344634,78.63371979984485,16,7,Medium
Male,88.33013008485935,87.41040552720087,10,4,Low
Female,115.94363633762967,114.39707049006094,12,2,High
Female,72.92389226059429,70.3720497369578,10,6,High
Male,114.3335055453705,113.75838541596582,6,2,Medium
Female,108.17360229368006,104.43399791573216,8,7,High
Male,86.36584947768971,85.09698358797513,14,4,Low
Male,104.22847829081115,100.38300781362368,17,5,Medium
